1;1;771;2932
1;4;173;1772
1;12;9;578
1;6;58;422
1;9;11;280
1;10;10;150
1;14;6;117
1;5;32;99
1;17;15;73
1;8;34;72
1;19;9;59
1;16;4;56
1;11;12;54
1;2;9;47
1;13;6;47
1;20;9;30
1;7;20;19
1;3;9;17
1;18;2;9
1;15;4;8
2;1;831;4043
2;2;10;99
2;3;4;22
2;4;263;1704
2;5;48;139
2;6;65;578
2;7;21;16
2;8;23;55
2;9;3;334
2;10;6;112
2;11;7;32
2;12;1;518
2;13;2;49
2;14;2;102
2;15;0;2
2;16;4;59
2;17;3;79
2;18;6;14
2;19;9;47
2;20;5;23
3;1;944;3424
3;2;1;37
3;3;3;28
3;4;141;1565
3;5;30;194
3;6;61;520
3;7;15;30
3;8;15;47
3;9;0;299
3;10;8;30
3;11;12;19
3;12;0;557
3;13;5;50
3;14;3;98
3;15;8;8
3;16;17;63
3;17;74;37
3;18;3;8
3;19;0;43
3;20;18;38
4;1;651;5036
4;2;1;27
4;3;11;17
4;4;38;1611
4;5;26;251
4;6;16;313
4;7;0;22
4;8;5;70
4;9;2;50
4;10;0;15
4;11;1;22
4;12;2;187
4;13;4;54
4;14;0;86
4;15;2;4
4;16;1;68
4;17;22;108
4;18;6;21
4;19;2;42
4;20;0;11
5;1;178;4448
5;2;0;43
5;3;0;9
5;4;31;1085
5;5;7;131
5;6;7;199
5;7;26;1
5;8;2;27
5;9;0;0
5;10;0;8
5;11;2;4
5;12;0;8
5;13;0;28
5;14;2;73
5;15;0;12
5;16;11;63
5;17;0;71
5;18;0;10
5;19;5;27
5;20;2;25
6;1;102;5160
6;2;5;26
6;3;0;7
6;4;36;809
6;5;7;146
6;6;5;146
6;7;0;5
6;8;2;37
6;9;0;0
6;10;0;3
6;11;0;1
6;12;0;0
6;13;0;23
6;14;0;39
6;15;5;8
6;16;7;94
6;17;30;114
6;18;2;16
6;19;2;37
6;20;0;31
7;1;192;6146
7;2;0;30
7;3;0;16
7;4;52;920
7;5;2;92
7;6;5;170
7;7;0;4
7;8;9;69
7;9;0;2
7;10;0;8
7;11;0;15
7;12;0;5
7;13;2;27
7;14;0;51
7;15;2;1
7;16;0;56
7;17;4;235
7;18;2;8
7;19;0;73
7;20;0;36
8;1;706;6858
8;2;0;39
8;3;0;11
8;4;29;881
8;5;1;98
8;6;2;256
8;7;0;3
8;8;5;92
8;9;0;8
8;10;0;0
8;11;0;5
8;12;0;1
8;13;22;18
8;14;0;32
8;15;3;14
8;16;1;70
8;17;2;144
8;18;2;8
8;19;4;146
8;20;1;43
9;1;549;3334
9;2;0;21
9;3;0;12
9;4;37;1098
9;5;2;82
9;6;2;238
9;7;0;3
9;8;2;47
9;9;0;3
9;10;0;12
9;11;0;4
9;12;2;8
9;13;0;15
9;14;1;57
9;15;2;13
9;16;1;51
9;17;52;91
9;18;0;5
9;19;1;81
9;20;2;42
10;1;637;2949
10;2;1;60
10;3;3;10
10;4;21;1172
10;5;8;67
10;6;5;277
10;7;1;3
10;8;6;37
10;9;1;42
10;10;0;8
10;11;0;12
10;12;4;62
10;13;1;66
10;14;1;64
10;15;0;6
10;16;4;41
10;17;0;36
10;18;0;2
10;19;0;39
10;20;1;15
11;1;96;3464
11;2;9;44
11;3;2;30
11;4;63;1731
11;5;14;93
11;6;12;539
11;7;2;18
11;8;5;29
11;9;2;60
11;10;0;43
11;11;0;8
11;12;7;247
11;13;5;52
11;14;2;119
11;15;0;6
11;16;9;69
11;17;0;48
11;18;5;10
11;19;0;39
11;20;0;20
12;1;800;3029
12;2;1;58
12;3;1;38
12;4;44;1877
12;5;9;201
12;6;0;540
12;7;3;25
12;8;4;99
12;9;1;97
12;10;4;62
12;11;1;15
12;12;1;220
12;13;3;37
12;14;0;113
12;15;2;20
12;16;5;58
12;17;7;100
12;18;1;22
12;19;1;39
12;20;8;22
13;1;6457;50823
13;2;37;531
13;3;33;217
13;4;928;16225
13;5;186;1593
13;6;238;4198
13;7;88;149
13;8;112;681
